subjects,subject_id,handedness,sex,sex(number),age,group
subject_1,1,1,F,0,24,0
subject_2,2,1,M,1,29,0
subject_3,3,1,F,0,23,0
subject_4,4,1,M,1,31,0
subject_5,5,1,M,1,20,0
subject_6,6,1,M,1,27,0
subject_7,7,1,M,1,26,0
subject_8,8,1,M,1,20,0
subject_9,9,1,M,1,24,0
subject_10,10,1,M,1,18,0
subject_11,11,1,M,1,21,0
subject_12,12,1,F,0,25,0
subject_13,13,1,F,0,26,0
subject_14,14,1,F,0,27,0
subject_15,15,1,F,0,25,0
subject_16,16,1,M,1,28,0
subject_17,17,1,F,0,27,0
subject_18,18,1,M,1,29,0
subject_19,19,1,M,1,24,0
subject_20,20,2,F,0,32,0
subject_21,21,1,M,1,20,0
subject_22,22,1,M,1,19,0
subject_23,23,1,M,1,19,0
subject_24,24,1,M,1,25,0
subject_25,25,1,F,0,25,0
subject_26,26,1,M,1,26,0
subject_27,27,1,M,1,33,0
subject_28,28,1,M,1,19,0
subject_29,29,1,M,1,20,0
subject_30,30,1,M,1,29,0
subject_31,31,1,M,1,28,0
subject_32,32,1,F,0,23,0
subject_33,33,2,F,0,29,0
subject_34,34,1,M,1,27,1
subject_35,35,1,M,1,30,0
subject_36,36,1,M,1,25,0
subject_37,37,1,F,0,26,0
subject_38,38,1,M,1,26,3
subject_39,39,1,F,0,23,0
subject_40,40,1,F,0,28,0
subject_41,41,1,F,0,23,0
subject_42,42,1,M,1,30,0
subject_43,43,1,F,0,20,0
subject_44,44,1,M,1,19,0
subject_45,45,1,M,1,19,0
subject_46,46,1,M,1,19,0
subject_47,47,1,F,0,23,0
subject_48,48,1,F,0,26,0
subject_49,49,1,F,0,28,0
subject_50,50,1,M,1,24,1
subject_51,51,1,M,1,28,10
subject_52,52,1,M,1,25,4
